"f"	"REUG_right"	"REOG_65_right"	"REAG_55_right"	"REAG_65_right"	"REAG_80_right"	"REUG_left"	"REOG_65_left"	"REAG_55_left"	"REAG_65_left"	"REAG_80_left"
"26"	1075	50.7862997757404	50.5524964340427	53.1649662580838	60.4485673706271	72.1832275505623	51.8633040472648	50.967163841301	53.2540067835949	59.5156212835989	70.0755810146373
"27"	1118	47.5958155456909	47.9469327897603	51.637485779609	58.3297087419814	68.4129034579645	51.313063004348	50.9124517789497	53.1610544143223	59.0840950799432	67.8048339704596
"28"	1161	47.6627695007968	48.2800249310206	54.6367699993631	60.6956563643052	69.6327593278677	49.9192864662705	49.9881365770842	53.5174230134553	58.6872424354369	66.1344403356553
"29"	1204	51.3424284508211	52.2374572897779	57.0439456515028	62.3172138455614	71.0919495606675	51.0638715152982	50.7280003039347	53.148587071382	58.4770997838214	66.1341939681906
"30"	1247	52.5563015738285	53.667227641682	56.4088097603365	60.8325098364371	69.2025424111198	52.9387530933846	52.4665148620646	54.5019101430761	59.1177998889853	68.1135572014474
"31"	1290	51.4228124099278	52.5850552382581	54.9509575999907	59.588365930592	68.7010839753997	52.4480320092	52.5910820188699	55.022181480494	59.5726513004387	69.5888162577396
"32"	1333	51.4764769946236	52.2404391829353	54.2901324602616	59.5064023082693	68.8936930020658	51.1667806952979	53.2879682881758	53.4384455432242	58.8343928837878	69.1896206660496
"33"	1376	53.5938016302385	54.0060550010977	56.2527631516878	61.33904623203	71.1815868022299	50.7670147148347	53.7338369460206	53.4810081970814	58.6174816709276	68.8728681608052
"34"	1419	52.9103084028073	53.3896991013564	57.6084241153527	62.849711744102	72.6925159049789	49.8053205019001	52.3483075505113	53.6157104515619	58.6959132159078	68.8141845099333
"35"	1462	50.1696978954319	50.54635930451	57.4353745708346	62.9587133779539	72.51018990021	47.8020692412726	49.625342207448	53.9323262186474	59.39717322802	68.7714200052025
"36"	1505	52.7471524981618	52.1659425300345	61.1980701371529	66.2922376116775	75.600949828006	47.6685473187465	48.2282999503558	55.1745064324897	61.2480202163428	69.6431010399101
"37"	1548	55.4010653680397	54.6225777607468	63.9683180294539	68.9366238597259	78.4126058990039	49.6041757071839	50.4757997256463	57.8423727789292	64.0363846831935	72.9599515316613
"38"	1591	55.0055446801974	54.8892208316676	64.5578582046972	69.4453321429938	79.5544471821791	52.1109859967122	52.7355581278153	61.2563859727142	66.9783340649841	77.2775079123746
"39"	1634	54.4869138397083	54.7453610883757	64.9961061161959	69.2457298464835	79.7075318588412	53.4053883940284	53.3325277266032	64.315925033535	69.6095582650701	80.3717639301588
"40"	1677	56.2491845904684	55.6954750487789	66.4064936453908	70.4621259169799	81.1384314706549	53.2718340714392	53.2102898498418	65.8555688820684	70.9860587287472	81.78349241994
"41"	1720	58.4219134498262	57.7444806653988	68.4456803291158	73.3866502089904	83.7707602693669	55.6360771106848	54.5054309463573	65.5499365676447	70.9108833639045	81.7010647727646
"42"	1763	59.2007905867812	59.8883047767544	70.0239690243714	76.5676635920265	86.8576586551137	59.0032400101144	57.3009797660995	65.7971155173634	72.6783468965916	82.8420893896099
"43"	1806	58.5714410229777	59.5695686090562	70.8031195045926	78.3599013704337	88.1278090677546	59.1302494593744	57.3949114974944	67.8300529973336	75.2106979047169	85.3229523069096
"44"	1849	59.3894394133014	58.4352738061177	71.2615016102835	78.5283020572997	87.2052655038304	56.9992233565271	54.9186927631965	68.7792814499998	76.2268368572553	85.4098216425211
"45"	1892	60.0954311603276	57.6075418566649	70.8594901556655	77.4192765550113	85.8727013012483	55.6152530562797	53.816452070343	69.2987214449798	76.0751571713915	84.8096249898263
"46"	1935	57.8204205913764	54.5908167311154	70.0929765575316	76.21405454196	86.145519871038	54.5165599235467	53.2050047427416	69.0640507387193	75.2052032489381	85.2798141014361
"47"	1978	55.6895464246919	53.130155140441	71.7904063355456	77.5095141628697	88.2562932586854	54.336533571395	53.400051592235	70.3074035629943	76.3329090891481	86.5003206012193
"48"	2021	54.6361277804912	53.1772564394573	71.9103711745054	78.0006780590724	88.4374941826838	54.0210681803664	53.5252175911775	70.7139659740253	76.9271188851415	86.7345329333671
"49"	2064	55.2037505555234	54.1703838869206	71.0432112974318	79.5036296547671	88.5734243116615	54.7354421543162	54.2667733046038	70.5055717787263	78.5036983019261	87.3433239372686
"50"	2107	56.7364577874043	54.8249273281891	70.6245484936497	80.4780855767088	88.5833061815135	55.6941993986153	54.6615946968168	70.6900198678939	80.038630802239	88.699347475723
"51"	2150	56.7091594685826	54.9814836282531	71.5181470109523	81.4448574309606	89.1903942307036	55.8902494053614	54.299363421396	71.3968772651246	81.0649919148731	89.8363004208723
"52"	2193	54.9614592828527	53.0853593759029	72.4634454438404	82.379029058573	90.0128104106441	54.650756031218	52.0339130689102	71.4899767729538	80.8728873573544	89.3792364801238
"53"	2236	53.689424425648	50.9509798491044	71.4919852136379	81.5023236680665	89.0185055463187	54.177234561576	50.5379582753504	69.6310507140735	79.1982071751145	86.708194078016
"54"	2279	54.0758347376564	51.0333632808567	70.6910665242042	80.0352864093002	88.1411070582914	54.4372719028202	51.0714858708071	69.0793240520598	77.768068415533	85.2606845724439
"55"	2322	54.5758918839169	52.1701887634742	70.866459124663	78.3348550601288	87.3955935427896	53.346688562466	51.1875754572068	69.5320522181075	76.271195221355	85.4386093908457
"56"	2365	53.518973132356	52.8416581558281	71.1242605805289	77.4917013207542	87.005208517349	49.9626857572273	49.4095385970301	68.477088464722	74.5496347160743	84.4332891747211
"57"	2408	52.2904105599622	52.3245082379765	70.7857037842248	76.6668773043406	86.0379811932149	49.3030210195179	49.4213343569714	66.0064228292534	72.337274966289	82.63346962824
"58"	2451	50.7965817363367	51.6544366139176	70.8364409111252	77.2625082603691	87.2812489342318	49.49025595311	49.7586303387256	67.241300679625	74.3413429608126	85.4062183312074
"59"	2494	51.1500869938289	51.6461236505551	71.8003800871543	78.5421622784235	89.594082478848	49.5193763058474	49.5820936271065	68.4122965345927	75.8179926992997	87.3818803531034
"60"	2537	52.0910775759093	52.0192777937673	72.9271734403788	79.7656712772086	90.2284668567497	49.553891254104	49.5424680029602	68.8551736748722	75.9239104956859	86.733820162606
"61"	2580	51.9494003436851	51.8644545869839	73.4685476236319	81.8470537882778	91.4016462529585	49.5304549192583	48.9190020192961	69.0239193592208	76.0445120827601	85.4806931973808
"62"	2623	51.8727351588113	51.3481833561237	72.6876904117362	82.286172173921	92.1088264262719	49.6805541265021	47.7709852104485	68.5583061515275	76.8727851385288	86.0221149125192
"63"	2666	53.2883422099114	51.4791572529015	71.8505134127997	80.6840668730162	91.6801347104222	49.850134725291	46.6492473104278	67.8390663054304	75.858380307597	86.7361546483341
"64"	2709	54.7732879014813	52.3874286379891	73.3220707233024	80.0370339268811	92.270558426585	49.9330214000303	46.8132401222253	67.9987383820937	74.4442324588614	87.6792120220443
"65"	2752	56.543388063049	52.6076155922075	75.1816456075737	80.4011954484375	93.286452859954	48.839018574495	46.4848374410483	70.4387065092409	74.092617958518	87.4108115468224
"66"	2795	57.9852206037991	54.1796469415316	77.0537530178987	81.6755239053626	94.7618358781249	50.1362664812733	47.9027534398792	73.1277320178781	75.4818678260146	87.5440781132942
"67"	2838	56.6925759840009	53.3387167904075	77.2493661170407	82.50852248191	96.0878695150115	51.0518185159975	48.2284533468406	72.4638119778694	76.7597651186291	88.0219259758873
"68"	2881	55.3174446629756	51.0230272924732	75.973650296791	82.375297565502	95.8956010952928	49.5948392545249	46.8159925994581	70.2437031570877	77.1926219969367	88.5687758978777
"69"	2924	53.0967991567032	49.1375670935961	73.3712116017547	80.4656071371684	93.2151596079815	46.5128620716814	44.6760411151465	67.941392848137	75.3915885081396	86.8677182935913
"70"	2967	51.8110464224672	49.0053257102708	71.6520085041939	79.2127558774185	90.7507501225395	45.8573842347267	44.795595044053	67.8858280574073	75.3339180155887	87.1385001867748
"71"	3010	49.924603156053	47.8423439307856	70.8155206405111	78.3762261607831	89.5882613249214	44.7642656466965	43.8451429703085	67.9863211509937	75.6696390715696	88.0192824020004
"72"	3053	50.3533228135678	47.0908596311223	71.3280625363253	78.3968147900462	91.427300710397	45.5463747633209	43.6177507595822	69.7519033401117	76.6930651540161	89.1840876880443
"73"	3096	51.1384311667127	49.1317674291945	70.4644737637699	77.9315738517224	91.0257444536939	46.0564135749379	44.5697759971515	69.3661196860794	76.8296208601136	88.6843166575631
"74"	3139	53.9970006659811	52.6595201762335	69.6285393512721	77.2196742730508	89.3834585553365	49.2094134544279	48.5685158112186	68.2072871668455	76.4846857872926	88.0528244088392
"75"	3182	54.1941201481356	52.8545449859412	68.9739216237233	75.4642653794445	87.201896761134	50.9518979864212	49.770751177107	66.9551465439822	74.3082745879932	84.9263338516432
"76"	3225	52.8257919376828	51.4209268722238	69.6395115842388	75.1975017665711	87.8396080607907	50.8574789344836	49.2310761351511	67.1196766275689	72.9908563536302	84.153466052533
"77"	3268	50.4967416133605	49.8651883394459	68.8683988875999	74.191399801371	87.6849440115874	48.672178373764	47.5570775350041	66.1267494701281	72.1833837490191	83.9172689208405
"78"	3311	48.9372153657322	47.9619609153368	68.4777398844456	74.6069011291027	87.2688656213315	45.395818304503	44.9009918175422	66.5470640615141	74.6105590012396	85.4403557066294
"79"	3354	47.8879711943035	44.0268031356075	67.6369290707824	74.0389949170929	86.5651828181698	42.4753090069867	40.2062752658203	67.647444185065	75.7410212240742	86.9747030304761
"80"	3397	47.4063918782808	43.3831107683863	66.368995090403	73.2874531349042	86.172984114646	43.9069435729364	41.6150280708752	67.7897441004144	75.2035424341011	87.2282489046379
"81"	3440	48.5333013352874	44.5180353577873	65.757567440151	73.6608233061284	86.2739061171181	45.5152404050371	43.5609148490302	66.8351059799643	75.4277541850133	87.4022383961807
"82"	3483	51.8177078927203	46.4883554375294	66.0822070292388	73.6947589733187	86.2689505767173	46.0427900166946	43.9655437468907	66.8925649899482	76.2567049428734	88.0407511110769
"83"	3526	53.088634721757	47.9726066330211	65.6308419224832	71.7203622976957	84.3892915709927	47.9673389354493	44.644460395332	66.5550014875104	74.7815290517405	86.8655821731751
"84"	3569	55.1867705010916	49.751060052305	66.3002511700864	72.7989854838224	84.8529765472131	53.4424748374115	49.1329335826229	67.2744142727408	73.8168800872623	86.8230126913859
"85"	3612	56.2661999864587	50.6255014218483	67.9976039070539	74.8124466572727	86.853372289553	55.142931587377	50.9811411535615	68.1527859283462	74.9384858640413	88.8559251163436
"86"	3655	56.7746195530402	51.1570537625195	70.7887667413133	77.7753927358283	89.8836548561802	54.8013172617354	51.6201047810044	70.610745210538	78.7018814103728	92.3824013904333
"87"	3698	56.2290341172029	50.9145831585391	70.8561345096964	77.3900543281098	89.8612328330993	53.5689771289171	50.9395504530477	70.4925450671222	77.9194936434623	91.9669838345169
"88"	3741	54.7260113936588	50.4996538829182	69.327244060919	74.9939087051543	87.6335629358678	52.3146824625504	49.8463774309323	69.3792928060828	76.0587137986963	90.2154820706928
"89"	3784	53.505444931879	49.9048593422956	67.9222230349636	75.3835179373152	87.0330651922203	52.0147932217122	49.4456836769864	68.7152847527628	76.4955265278278	89.2569298811623
"90"	3827	52.7201079540827	48.3012164861738	66.496817989945	73.8694166037802	85.804502814174	51.4471117896667	48.2186303985774	66.7257375509268	76.9193607273713	88.6632317912856
"91"	3870	53.4302086102216	48.003896725436	66.0570452327486	74.4924884271487	87.3447223275382	52.3051900094243	47.5909603426264	67.0409203274062	78.3962840207755	89.8009521010281
"92"	3913	52.6841970683675	47.0722732353288	65.6441342010704	74.7757462500162	87.2243930052239	52.4485827137339	46.9658185344009	66.9371530313384	77.6243944474808	88.6889776471919
"93"	3956	53.2172716281296	47.8806684820208	65.2007616260343	74.5506234950544	85.7461831457696	52.6643815785229	47.8842705183197	65.8859926596598	75.9518617890722	87.9199651935103
"94"	3999	54.7879958591919	50.0937427537776	65.7486345420533	74.45704143716	85.7672986811678	54.688743320425	50.7139942197845	66.6014920111472	75.5529858692788	88.5284851696961
"95"	4042	54.2467212153698	49.8467915227954	65.6063775496485	73.7177605993166	86.9535996820008	54.8197833326154	51.0555897003284	66.8602041116458	75.9815482233476	88.2980005193053
"96"	4085	54.5887943783633	48.5476456509993	64.8685297419237	72.5511951091647	87.5541861216219	52.7759665893648	48.2035164401729	65.6381201179445	74.2636896391587	86.8712429286187
"97"	4128	56.2033314797158	50.0482373498289	64.6523132628948	72.193693768461	87.7388761284721	53.3340480977362	46.8386135045437	64.0664260902531	71.8550707893405	85.5532695225528
